time,gFx,gFy,gFz,TgF
22:00:08:147,-0.0480,0.2682,1.0687,1.103
22:00:08:148,-0.0400,0.2602,0.9847,1.019
22:00:08:157,-0.0280,0.2562,0.9246,0.960
22:00:08:162,-0.0600,0.2402,0.9246,0.957
22:00:08:172,-0.0881,0.2041,1.0047,1.029
22:00:08:182,-0.0921,0.1721,1.0127,1.031
22:00:08:192,-0.0320,0.1921,1.0207,1.039
22:00:08:227,-0.0280,0.2442,1.0487,1.077
22:00:08:229,-0.0761,0.2762,1.0607,1.099
22:00:08:231,-0.1201,0.2682,1.0967,1.135
22:00:08:233,-0.1081,0.2242,1.0127,1.043
22:00:08:245,-0.0761,0.1961,0.9486,0.972
22:00:08:252,-0.0400,0.2081,0.8926,0.917
22:00:08:263,-0.0160,0.2282,0.9566,0.984
22:00:08:272,-0.0160,0.2161,0.9647,0.989
22:00:08:282,-0.0240,0.2242,0.9767,1.002
22:00:08:292,-0.0480,0.2482,0.9727,1.005
22:00:08:326,-0.0881,0.2642,1.0127,1.050
22:00:08:328,-0.1121,0.2522,1.0647,1.100
22:00:08:330,-0.0761,0.2201,1.1047,1.129
22:00:08:334,-0.0080,0.2362,1.0527,1.079
22:00:08:342,0.0520,0.2602,0.9526,0.989
22:00:08:352,0.0480,0.2682,0.9086,0.949
22:00:08:363,0.0120,0.2802,0.9006,0.943
22:00:08:372,-0.0320,0.2682,0.8846,0.925
22:00:08:382,-0.0520,0.2282,0.8966,0.927
22:00:08:392,0.0040,0.2121,0.8766,0.902
22:00:08:426,0.0440,0.2522,0.9326,0.967
22:00:08:428,0.0480,0.2762,1.0687,1.105
22:00:08:429,0.0080,0.2922,1.1288,1.166
22:00:08:436,-0.0360,0.2802,1.1208,1.156
22:00:08:445,-0.0320,0.2642,1.0647,1.097
22:00:08:452,-0.0200,0.2642,1.0087,1.043
22:00:08:465,-0.0120,0.2842,0.9566,0.998
22:00:08:472,0.0040,0.2882,0.9326,0.976
22:00:08:482,0.0080,0.2762,0.9006,0.942
22:00:08:522,-0.0040,0.2482,0.9166,0.950
22:00:08:524,-0.0240,0.2442,0.9807,1.011
22:00:08:526,-0.0600,0.2482,1.0847,1.114
22:00:08:528,-0.0440,0.2362,1.1488,1.174
22:00:08:537,0.0040,0.2562,1.1528,1.181
22:00:08:543,0.0320,0.2722,1.1448,1.177
22:00:08:552,0.0280,0.2882,1.1248,1.161
22:00:08:562,0.0040,0.2802,1.1648,1.198
22:00:08:572,0.0000,0.2602,1.1568,1.186
22:00:08:582,0.0200,0.2522,1.1488,1.176
