time,gFx,gFy,gFz,TgF
22:00:08:687,0.0200,0.3042,1.1968,1.235
22:00:08:689,0.0120,0.3322,1.2008,1.246
22:00:08:690,-0.0160,0.3322,1.1568,1.204
22:00:08:692,-0.0360,0.3082,1.0687,1.113
22:00:08:693,-0.0440,0.2682,0.9767,1.014
22:00:08:695,-0.0480,0.2562,0.9526,0.988
22:00:08:696,-0.0720,0.2482,0.9807,1.014
22:00:08:697,-0.0881,0.2402,1.0447,1.076
22:00:08:699,-0.0720,0.2282,1.1288,1.154
22:00:08:700,-0.0440,0.2362,1.1688,1.193
22:00:08:701,-0.0400,0.2642,1.1408,1.172
22:00:08:703,-0.0520,0.2642,1.0767,1.110
22:00:08:838,-0.0480,0.2522,1.0287,1.060
22:00:08:839,-0.0560,0.2001,0.9366,0.959
22:00:08:840,-0.0400,0.1761,0.9086,0.926
22:00:08:842,-0.0480,0.1721,0.9326,0.950
22:00:08:843,-0.0440,0.2121,0.9366,0.961
22:00:08:845,-0.0801,0.2522,0.9887,1.023
22:00:08:846,-0.1161,0.2602,0.9727,1.014
22:00:08:847,-0.1361,0.2522,0.9486,0.991
22:00:08:849,-0.1601,0.2322,0.9286,0.971
22:00:08:850,-0.1441,0.2041,0.8806,0.915
22:00:08:852,-0.0961,0.2001,0.8366,0.866
22:00:08:853,-0.0560,0.2201,0.8406,0.871
22:00:08:854,-0.0761,0.2201,0.8526,0.884
22:00:08:856,-0.0961,0.2282,0.9366,0.969
22:00:08:888,-0.0921,0.2402,0.9887,1.022
22:00:08:891,-0.0801,0.2442,1.0407,1.072
22:00:08:893,-0.0480,0.2722,1.0847,1.119
22:00:08:901,-0.0280,0.3002,1.0807,1.122
22:00:08:903,-0.0400,0.3002,1.0407,1.084
22:00:08:921,-0.0320,0.3322,0.9607,1.017
22:00:08:922,-0.0440,0.3082,0.9286,0.979
22:00:08:952,-0.0640,0.2802,0.9246,0.968
22:00:08:954,-0.0520,0.2602,0.8926,0.931
22:00:08:957,-0.0120,0.2602,0.9086,0.945
22:00:09:0,-0.0280,0.2842,0.9166,0.960
22:00:09:2,-0.0680,0.2922,0.9847,1.029
22:00:09:4,-0.1121,0.2522,1.0407,1.077
22:00:09:6,-0.1121,0.2121,1.0647,1.091
22:00:09:7,-0.0720,0.1921,1.0567,1.076
22:00:09:18,-0.0320,0.2282,1.0527,1.078
22:00:09:50,-0.0320,0.2562,1.0847,1.115
22:00:09:52,-0.0440,0.2562,1.1488,1.178
22:00:09:54,-0.0480,0.2402,1.1688,1.194
22:00:09:56,-0.0440,0.2722,1.1808,1.213
22:00:09:65,-0.0360,0.2682,1.2088,1.239
22:00:09:74,-0.0080,0.3002,1.2048,1.242
22:00:09:103,-0.0080,0.3082,1.1568,1.197
22:00:09:106,-0.0200,0.3002,1.0407,1.083
22:00:09:107,-0.0240,0.2802,0.9566,0.997
22:00:09:115,-0.0480,0.2722,0.9246,0.965
22:00:09:131,-0.1001,0.2522,0.9887,1.025
22:00:09:132,-0.1361,0.2362,1.0687,1.103
22:00:09:164,-0.1241,0.2282,1.1448,1.174
22:00:09:166,-0.0640,0.2642,1.1968,1.227
22:00:09:168,-0.0520,0.3002,1.1768,1.216
22:00:09:176,-0.0640,0.3002,1.1088,1.150
22:00:09:182,-0.0720,0.2682,0.9847,1.023
22:00:09:193,-0.0360,0.2242,0.8886,0.917
22:00:09:202,-0.0320,0.1921,0.8766,0.898
22:00:09:212,-0.0200,0.1761,0.9326,0.949
22:00:09:246,-0.0040,0.1921,0.9927,1.011
22:00:09:247,-0.0120,0.2562,1.1088,1.138
22:00:09:249,-0.0680,0.3042,1.1688,1.210
22:00:09:258,-0.1321,0.3482,1.2048,1.261
22:00:09:263,-0.1601,0.2882,1.1168,1.164
22:00:09:281,-0.1161,0.2562,0.9647,1.005
22:00:09:285,-0.0761,0.2482,0.8446,0.884
22:00:09:330,-0.0520,0.2121,0.7885,0.818
22:00:09:348,-0.0640,0.2121,0.7725,0.804
22:00:09:354,-0.0961,0.2001,0.7725,0.804
22:00:09:365,-0.1121,0.1841,0.8206,0.848
22:00:09:372,-0.1081,0.1801,0.8446,0.870
22:00:09:381,-0.0921,0.2081,0.9046,0.933
22:00:09:388,-0.0921,0.2282,1.0007,1.030
22:00:09:389,-0.0801,0.1961,1.0607,1.082
22:00:09:398,-0.0600,0.1721,1.1208,1.135
22:00:09:400,-0.0400,0.1921,1.2008,1.217
22:00:09:402,-0.0120,0.2322,1.2248,1.247
22:00:09:404,0.0080,0.2682,1.2208,1.250
22:00:09:429,0.0040,0.3122,1.1808,1.221
22:00:09:433,-0.0240,0.3402,1.1168,1.168
22:00:09:435,-0.0440,0.3402,1.0807,1.134
22:00:09:471,-0.0400,0.3162,0.9927,1.043
22:00:09:473,-0.0240,0.2922,0.9406,0.985
22:00:09:475,-0.0280,0.2962,0.9526,0.998
22:00:09:476,-0.0480,0.2962,1.0207,1.064
22:00:09:486,-0.0801,0.2762,1.1007,1.138
22:00:09:521,-0.0720,0.2482,1.1088,1.138
22:00:09:523,-0.0440,0.2402,1.0727,1.100
22:00:09:525,-0.0080,0.2402,1.0367,1.064
22:00:09:526,0.0120,0.2482,1.0167,1.047
22:00:09:536,0.0040,0.2322,1.0487,1.074
22:00:09:543,-0.0240,0.2161,1.0727,1.095
22:00:09:554,-0.0200,0.2001,1.0487,1.068
22:00:09:595,-0.0200,0.2201,1.0327,1.056
22:00:09:598,-0.0360,0.2722,1.0487,1.084
22:00:09:600,-0.0881,0.3002,1.0647,1.110
22:00:09:604,-0.1401,0.2882,1.0247,1.074
22:00:09:703,-0.1441,0.2562,0.9126,0.959
22:00:09:705,-0.1281,0.2522,0.8366,0.883
22:00:09:706,-0.1521,0.2282,0.8446,0.888
22:00:09:708,-0.1481,0.2282,0.8486,0.891
22:00:09:710,-0.1521,0.2201,0.8926,0.932
22:00:09:712,-0.1481,0.2161,0.9326,0.969
22:00:09:714,-0.1481,0.2161,0.9847,1.019
22:00:09:716,-0.1361,0.2322,1.0527,1.087
22:00:09:717,-0.1161,0.2522,1.1368,1.170
22:00:09:719,-0.0720,0.2682,1.1528,1.186
22:00:09:720,-0.0560,0.3002,1.1248,1.165
22:00:09:722,-0.0801,0.3162,1.1208,1.167
22:00:09:723,-0.0761,0.3002,1.0967,1.140
22:00:09:833,-0.0600,0.3082,1.0727,1.118
22:00:09:835,-0.0440,0.3162,1.0647,1.112
22:00:09:836,-0.0640,0.3162,1.0767,1.124
22:00:09:838,-0.0801,0.3402,1.0687,1.124
22:00:09:839,-0.1361,0.3122,1.0847,1.137
22:00:09:840,-0.1521,0.3002,1.0807,1.132
22:00:09:842,-0.1601,0.2802,1.0647,1.113
22:00:09:844,-0.1401,0.2282,1.0447,1.078
22:00:09:845,-0.1041,0.2282,1.0127,1.043
22:00:09:846,-0.0520,0.2322,0.9366,0.966
22:00:09:848,-0.0320,0.2322,0.9006,0.931
22:00:09:849,-0.0640,0.2041,0.9206,0.945
22:00:09:864,-0.1161,0.1441,0.9566,0.974
22:00:09:866,-0.1281,0.1041,0.9687,0.983
22:00:09:874,-0.1241,0.1281,1.0207,1.036
22:00:09:882,-0.1321,0.1801,1.0567,1.080
22:00:09:922,-0.1481,0.2282,1.1248,1.157
22:00:09:924,-0.1561,0.2242,1.0607,1.095
22:00:09:926,-0.1521,0.2081,0.9687,1.002
22:00:09:927,-0.1401,0.2201,0.8966,0.934
22:00:09:937,-0.1281,0.2242,0.9126,0.948
22:00:09:942,-0.1081,0.2482,0.9366,0.975
22:00:09:979,-0.0801,0.2522,0.9847,1.020
22:00:09:981,-0.0560,0.2722,0.9887,1.027
22:00:09:983,-0.0440,0.2562,0.9607,0.995
22:00:09:985,-0.0600,0.2602,0.9647,1.001
22:00:09:994,-0.0600,0.2642,0.9607,0.998
22:00:10:2,-0.0520,0.2482,0.9967,1.028
22:00:10:12,-0.0560,0.2522,1.0287,1.061
22:00:10:22,-0.0360,0.2602,1.0527,1.085
22:00:10:32,-0.0080,0.2762,1.0727,1.108
22:00:10:63,0.0160,0.3002,1.0327,1.076
22:00:10:64,0.0080,0.2882,0.9727,1.014
22:00:10:66,-0.0120,0.2762,0.9526,0.992
22:00:10:74,-0.0240,0.2482,0.9566,0.989
22:00:10:83,-0.0600,0.2362,0.9687,0.999
22:00:10:92,-0.0520,0.2322,1.0087,1.036
22:00:10:104,-0.0640,0.2482,1.0447,1.076
22:00:10:112,-0.0801,0.2602,1.0287,1.064
22:00:10:122,-0.0961,0.2962,0.9727,1.021
22:00:10:140,-0.1201,0.2642,0.9647,1.007
22:00:10:143,-0.1401,0.2322,0.9607,0.998
22:00:10:187,-0.1121,0.1881,0.9847,1.009
22:00:10:189,-0.0680,0.1801,1.0127,1.031
22:00:10:190,-0.0120,0.2081,1.0527,1.073
22:00:10:192,-0.0080,0.2602,1.1568,1.186
22:00:10:194,-0.0360,0.2922,1.1928,1.229
22:00:10:204,-0.0480,0.2642,1.1208,1.152
22:00:10:212,-0.0560,0.2442,1.0487,1.078
22:00:10:222,-0.0320,0.2562,0.9326,0.968
22:00:10:235,-0.0400,0.2682,0.9246,0.964
22:00:10:265,-0.0560,0.2682,0.9927,1.030
22:00:10:267,-0.0560,0.2602,1.0567,1.090
22:00:10:268,-0.0640,0.2642,1.0487,1.083
22:00:10:276,-0.0440,0.2882,1.0567,1.096
22:00:10:283,-0.0440,0.3122,1.0007,1.049
22:00:10:292,-0.0841,0.2842,1.0287,1.071
22:00:10:303,-0.1081,0.2322,1.0647,1.095
22:00:10:312,-0.0801,0.2001,1.1007,1.122
22:00:10:322,-0.0440,0.2242,1.1007,1.124
22:00:10:332,0.0080,0.2722,1.0567,1.091
22:00:10:364,-0.0120,0.3242,1.0007,1.052
22:00:10:366,-0.0720,0.3202,0.9326,0.989
22:00:10:367,-0.1081,0.2482,0.8326,0.875
22:00:10:373,-0.1321,0.1641,0.7445,0.774
22:00:10:382,-0.1521,0.1161,0.6965,0.722
22:00:10:392,-0.1241,0.1241,0.7125,0.734
22:00:10:403,-0.0841,0.1601,0.8005,0.821
22:00:10:412,-0.0761,0.2081,0.9326,0.959
22:00:10:422,-0.1281,0.2161,1.0647,1.094
22:00:10:432,-0.1681,0.2041,1.1408,1.171
22:00:10:469,-0.1641,0.2041,1.1848,1.213
22:00:10:471,-0.1241,0.2282,1.1728,1.201
22:00:10:472,-0.0640,0.2722,1.1047,1.140
22:00:10:474,-0.0320,0.3002,1.0647,1.107
22:00:10:485,-0.0520,0.3162,1.0247,1.074
22:00:10:492,-0.0600,0.3082,1.0087,1.056
22:00:10:502,-0.1081,0.3002,1.0927,1.138
22:00:10:512,-0.1201,0.3122,1.1328,1.181
22:00:10:522,-0.1081,0.3322,1.1768,1.228
22:00:10:533,-0.1121,0.3682,1.2008,1.261
22:00:10:565,-0.1361,0.3843,1.2168,1.283
22:00:10:567,-0.1361,0.3282,1.1528,1.206
22:00:10:568,-0.1041,0.2642,1.1128,1.148
22:00:10:576,-0.0640,0.2522,1.0647,1.096
22:00:10:592,-0.0600,0.2522,1.1047,1.135
22:00:10:594,-0.0801,0.2442,1.1528,1.181
22:00:10:682,-0.0881,0.2402,1.1808,1.208
22:00:10:688,-0.0961,0.2322,1.1208,1.149
22:00:10:689,-0.1081,0.2362,1.0327,1.065
22:00:10:691,-0.1401,0.2161,0.9246,0.960
22:00:10:693,-0.1601,0.1841,0.8486,0.883
22:00:10:694,-0.1921,0.1401,0.8126,0.847
22:00:10:696,-0.2242,0.1201,0.8486,0.886
22:00:10:698,-0.2201,0.1201,0.8646,0.900
22:00:10:705,-0.1641,0.1281,0.9767,0.999
22:00:10:707,-0.1561,0.1881,1.0487,1.077
22:00:10:708,-0.2121,0.2442,1.1568,1.201
22:00:10:738,-0.2722,0.2762,1.2729,1.331
22:00:10:740,-0.2762,0.2682,1.2448,1.303
22:00:10:742,-0.2161,0.2482,1.0887,1.137
22:00:10:743,-0.1721,0.2642,0.9046,0.958
22:00:10:868,-0.1401,0.3002,0.8005,0.866
22:00:10:871,-0.1681,0.3162,0.7525,0.833
22:00:10:873,-0.2001,0.2842,0.7605,0.836
22:00:10:875,-0.2081,0.2001,0.8206,0.870
22:00:10:877,-0.1601,0.1801,0.9206,0.952
22:00:10:884,-0.1441,0.2322,0.9887,1.026
22:00:10:886,-0.1521,0.2842,1.0407,1.089
22:00:10:888,-0.1841,0.3002,1.0647,1.121
22:00:10:890,-0.2001,0.2842,1.0647,1.120
22:00:10:891,-0.2121,0.2602,1.0207,1.074
22:00:10:893,-0.2161,0.2602,0.9967,1.053
22:00:10:895,-0.1921,0.2482,0.9927,1.041
22:00:10:897,-0.1521,0.2322,0.9967,1.035
22:00:10:899,-0.1281,0.2602,0.9807,1.023
22:00:10:902,-0.1361,0.2802,0.9607,1.010
22:00:10:904,-0.1641,0.2762,0.9326,0.986
22:00:10:926,-0.1921,0.2522,0.9526,1.004
22:00:10:927,-0.2041,0.2121,1.0247,1.066
22:00:10:988,-0.2081,0.1881,1.1288,1.163
22:00:10:990,-0.1841,0.1841,1.2288,1.256
22:00:10:992,-0.1121,0.2282,1.2889,1.314
22:00:10:994,-0.1201,0.3042,1.3009,1.341
22:00:10:996,-0.1521,0.3803,1.2649,1.330
22:00:10:998,-0.1681,0.3402,1.2168,1.275
22:00:10:999,-0.1761,0.3082,1.1248,1.179
22:00:11:14,-0.1761,0.2962,1.1047,1.157
22:00:11:15,-0.1561,0.2762,1.1168,1.161
22:00:11:46,-0.1241,0.2682,1.1007,1.140
22:00:11:48,-0.1281,0.2922,1.1088,1.154
22:00:11:49,-0.1561,0.3082,1.0727,1.127
22:00:11:56,-0.1561,0.2882,1.0047,1.057
22:00:11:62,-0.1481,0.2762,0.9446,0.995
22:00:11:97,-0.1441,0.2482,0.9006,0.945
22:00:11:102,-0.1281,0.2081,0.8806,0.914
22:00:11:105,-0.1041,0.1641,0.9166,0.937
22:00:11:106,-0.1081,0.1641,0.9446,0.965
22:00:11:117,-0.1321,0.1641,1.0207,1.042
22:00:11:129,-0.1761,0.1721,1.0927,1.120
22:00:11:136,-0.1961,0.1961,1.1248,1.158
22:00:11:142,-0.2041,0.2242,1.0807,1.122
22:00:11:180,-0.2121,0.2482,0.9767,1.030
22:00:11:183,-0.2001,0.2482,0.8606,0.918
22:00:11:185,-0.2001,0.2322,0.7525,0.813
22:00:11:187,-0.1881,0.1961,0.7485,0.796
22:00:11:203,-0.1961,0.1681,0.8166,0.856
22:00:11:205,-0.2081,0.1521,0.9126,0.948
22:00:11:219,-0.1921,0.1641,1.0007,1.032
22:00:11:222,-0.1881,0.2282,1.1007,1.140
22:00:11:270,-0.2081,0.2922,1.2208,1.272
22:00:11:273,-0.2282,0.3202,1.2689,1.328
22:00:11:275,-0.2041,0.3042,1.1888,1.244
22:00:11:276,-0.1921,0.3002,1.0127,1.074
22:00:11:278,-0.1641,0.2882,0.9326,0.990
22:00:11:290,-0.1241,0.2722,0.9206,0.968
22:00:11:296,-0.0680,0.2282,0.9286,0.959
22:00:11:302,-0.0080,0.2362,0.9206,0.950
22:00:11:343,0.0000,0.2722,0.9566,0.995
22:00:11:345,-0.0400,0.2762,1.0527,1.089
22:00:11:347,-0.0720,0.2682,1.1047,1.139
22:00:11:348,-0.0881,0.2322,1.1007,1.128
22:00:11:358,-0.0921,0.2322,1.0727,1.101
22:00:11:363,-0.0961,0.2322,1.0607,1.090
22:00:11:372,-0.0801,0.2081,1.0567,1.080
22:00:11:382,-0.0520,0.2001,1.0007,1.022
22:00:11:392,-0.0560,0.2201,0.9366,0.964
22:00:11:426,-0.0680,0.2402,0.8766,0.911
22:00:11:430,-0.0881,0.2362,0.8486,0.885
22:00:11:432,-0.1121,0.2041,0.8846,0.915
22:00:11:433,-0.0921,0.1961,0.8966,0.922
22:00:11:442,-0.0841,0.1961,0.9246,0.949
22:00:11:452,-0.0600,0.2001,0.9607,0.983
22:00:11:464,-0.0520,0.2282,0.9847,1.012
22:00:11:472,-0.0600,0.2402,1.0207,1.050
22:00:11:482,-0.0881,0.2522,0.9927,1.028
22:00:11:492,-0.0841,0.2442,0.9526,0.987
22:00:11:524,-0.0640,0.2602,0.8406,0.882
22:00:11:526,-0.0520,0.2642,0.7965,0.841
22:00:11:528,-0.0520,0.2562,0.7485,0.793
22:00:11:537,-0.0560,0.2522,0.7285,0.773
22:00:11:543,-0.0921,0.2322,0.7645,0.804
22:00:11:552,-0.1161,0.2121,0.8846,0.917
22:00:11:564,-0.1321,0.2201,1.0047,1.037
22:00:11:572,-0.1361,0.2482,1.1808,1.214
22:00:11:582,-0.1001,0.2962,1.3369,1.373
22:00:11:592,-0.0801,0.3562,1.3129,1.363
22:00:11:672,-0.0720,0.3883,1.2288,1.291
22:00:11:674,-0.1041,0.4043,1.0887,1.166
22:00:11:676,-0.1441,0.3883,1.0207,1.102
22:00:11:677,-0.1761,0.3322,0.9967,1.065
22:00:11:678,-0.1441,0.2642,0.9887,1.033
22:00:11:680,-0.1121,0.2482,1.0727,1.107
22:00:11:682,-0.0961,0.2442,1.1368,1.167
22:00:11:683,-0.0841,0.2682,1.1968,1.229
22:00:11:685,-0.0961,0.2602,1.2528,1.283
22:00:11:705,-0.1241,0.2682,1.2448,1.279
22:00:11:706,-0.1081,0.2161,1.2448,1.268
22:00:11:749,-0.0720,0.1681,1.1528,1.167
22:00:11:751,-0.0240,0.1481,1.0967,1.107
22:00:11:753,-0.0200,0.1561,1.0487,1.060
22:00:11:755,-0.0360,0.1801,1.0207,1.037
22:00:11:756,-0.0921,0.1801,1.0047,1.025
22:00:11:857,-0.1441,0.1801,1.0327,1.058
22:00:11:858,-0.1761,0.2081,1.0407,1.076
22:00:11:860,-0.1841,0.2201,1.1168,1.153
22:00:11:862,-0.1681,0.2442,1.0647,1.105
22:00:11:863,-0.1561,0.2362,1.0087,1.048
22:00:11:866,-0.1281,0.2442,0.9206,0.961
22:00:11:867,-0.1401,0.2362,0.8406,0.884
22:00:11:869,-0.1641,0.2161,0.8646,0.906
22:00:11:871,-0.1801,0.2121,0.8606,0.904
22:00:11:873,-0.1641,0.2001,0.9046,0.941
22:00:11:877,-0.1281,0.1921,0.9687,0.996
22:00:11:879,-0.0921,0.2161,1.0287,1.055
22:00:11:886,-0.0520,0.2001,1.0287,1.049
22:00:11:896,-0.0440,0.2161,0.9727,0.997
22:00:11:939,-0.0560,0.2201,0.8886,0.917
22:00:11:943,-0.0520,0.1921,0.8286,0.852
22:00:11:944,-0.0640,0.1681,0.7885,0.809
22:00:11:946,-0.0640,0.1441,0.7725,0.788
22:00:11:948,-0.0560,0.1521,0.8326,0.848
22:00:11:959,-0.0560,0.1721,0.9246,0.942
22:00:12:1,-0.0720,0.2081,1.0447,1.068
22:00:12:3,-0.0801,0.2482,1.1248,1.155
22:00:12:6,-0.1001,0.2482,1.1128,1.144
22:00:12:8,-0.0961,0.2802,1.0127,1.055
22:00:12:10,-0.0841,0.2922,0.9326,0.981
22:00:12:12,-0.0560,0.2842,0.8846,0.931
22:00:12:34,-0.0480,0.2842,0.9406,0.984
22:00:12:36,-0.0200,0.2762,1.0527,1.089
22:00:12:43,0.0120,0.2762,1.1168,1.150
22:00:12:52,0.0520,0.3162,1.2208,1.262
22:00:12:85,0.0360,0.3923,1.3089,1.367
22:00:12:87,0.0040,0.4243,1.3169,1.384
22:00:12:89,-0.0160,0.4203,1.3089,1.375
22:00:12:98,-0.0200,0.3642,1.2168,1.270
22:00:12:104,0.0360,0.3242,1.0807,1.129
22:00:12:139,0.0921,0.3042,0.9967,1.046
22:00:12:141,0.0921,0.3162,0.9406,0.997
22:00:12:143,0.0801,0.2882,0.9326,0.979
22:00:12:145,0.0520,0.2442,0.9366,0.969
22:00:12:155,0.0200,0.2282,0.9406,0.968
22:00:12:163,-0.0240,0.2201,1.0407,1.064
22:00:12:172,-0.0280,0.1961,1.1288,1.146
22:00:12:214,0.0120,0.1681,1.1128,1.125
22:00:12:216,0.0600,0.1761,1.0687,1.085
22:00:12:217,0.0640,0.1961,0.9767,0.998
22:00:12:219,0.0160,0.2041,0.9206,0.943
22:00:12:230,0.0000,0.1641,0.8566,0.872
22:00:12:237,-0.0240,0.1641,0.8246,0.841
22:00:12:245,-0.0560,0.1761,0.8045,0.826
22:00:12:252,-0.0761,0.1961,0.8406,0.866
22:00:12:262,-0.0801,0.2161,0.9526,0.980
22:00:12:272,-0.0761,0.2201,1.0607,1.086
22:00:12:282,-0.0640,0.2442,1.1328,1.161
22:00:12:320,-0.0720,0.2762,1.1128,1.149
22:00:12:322,-0.0841,0.3002,1.0607,1.106
22:00:12:324,-0.1041,0.3322,1.0127,1.071
22:00:12:326,-0.1201,0.3482,1.0087,1.074
22:00:12:336,-0.1121,0.3242,0.9967,1.054
22:00:12:342,-0.0921,0.3042,0.9807,1.031
22:00:12:352,-0.0600,0.3082,1.0167,1.064
22:00:12:363,-0.0640,0.3242,1.1088,1.157
22:00:12:372,-0.0560,0.3162,1.1128,1.158
22:00:12:382,-0.0600,0.3162,1.0767,1.124
22:00:12:422,-0.0560,0.3162,1.0927,1.139
22:00:12:424,-0.0480,0.2922,1.1007,1.140
22:00:12:426,-0.0240,0.2562,1.1288,1.158
22:00:12:427,0.0240,0.2322,1.0687,1.094
22:00:12:437,0.0480,0.2562,1.0607,1.092
22:00:12:444,0.0480,0.2762,1.0607,1.097
22:00:12:452,0.0240,0.2682,1.0327,1.067
22:00:12:464,0.0320,0.2362,0.9967,1.025
22:00:12:480,0.0280,0.2081,0.9607,0.983
22:00:12:482,0.0120,0.2161,0.9967,1.020
22:00:12:494,-0.0240,0.2081,1.1128,1.132
22:00:12:502,-0.0400,0.1801,1.2288,1.243
22:00:12:554,-0.0400,0.1841,1.2769,1.291
22:00:12:557,-0.0440,0.2201,1.2168,1.237
22:00:12:560,-0.0120,0.2602,1.0807,1.112
22:00:12:562,0.0000,0.2842,0.9807,1.021
22:00:12:564,-0.0120,0.2842,0.9006,0.944
22:00:12:566,-0.0400,0.2642,0.8806,0.920
22:00:12:582,-0.0040,0.2282,0.8406,0.871
22:00:12:584,0.0320,0.2201,0.8486,0.877
22:00:12:597,0.0520,0.2482,0.9086,0.943
22:00:12:934,0.0360,0.2762,0.9446,0.985
22:00:12:936,-0.0040,0.2722,0.9847,1.022
22:00:12:938,-0.0160,0.2442,0.9927,1.022
22:00:12:939,-0.0360,0.2362,0.9566,0.986
22:00:12:942,-0.0200,0.2282,0.9166,0.945
22:00:12:944,0.0240,0.2362,0.9246,0.955
22:00:12:946,0.0480,0.2522,0.9406,0.975
22:00:12:947,0.0560,0.2522,0.9687,1.003
22:00:12:949,0.0400,0.2602,0.9847,1.019
22:00:12:951,0.0600,0.2602,0.9887,1.024
22:00:12:953,0.0640,0.2642,1.0847,1.118
22:00:12:955,0.0720,0.2802,1.1488,1.185
22:00:12:956,-0.0440,0.2201,0.9126,0.940
22:00:12:958,-0.0881,0.2322,1.0687,1.097
22:00:13:157,-0.0921,0.2602,1.2849,1.314
22:00:13:159,-0.0440,0.2922,1.4090,1.440
22:00:13:160,0.0360,0.3642,1.4210,1.467
22:00:13:163,0.1041,0.4163,1.2609,1.332
22:00:13:165,0.1441,0.4283,1.0127,1.109
22:00:13:167,0.1441,0.4003,0.7765,0.885
22:00:13:168,0.1561,0.3442,0.6484,0.751
22:00:13:170,0.1641,0.2762,0.6084,0.688
22:00:13:172,0.1441,0.1841,0.6364,0.678
22:00:13:173,0.0801,0.1081,0.8005,0.812
22:00:13:175,0.0480,0.0560,1.0647,1.067
22:00:13:176,0.0881,0.1201,1.3249,1.333
22:00:13:178,0.0160,0.1361,1.0527,1.062
22:00:13:179,-0.0680,0.1881,1.2368,1.253
22:00:13:188,-0.1001,0.2362,1.3249,1.349
22:00:13:196,-0.0320,0.2522,1.2448,1.271
22:00:13:203,-0.0080,0.2642,1.0807,1.113
22:00:13:260,0.0440,0.2602,0.9607,0.996
22:00:13:262,0.0841,0.2322,0.8446,0.880
22:00:13:263,0.1041,0.1881,0.7685,0.798
22:00:13:265,0.1281,0.1681,0.7325,0.762
22:00:13:267,0.1321,0.1521,0.7965,0.822
22:00:13:269,0.1121,0.1601,0.8726,0.894
22:00:13:312,0.0801,0.1721,1.0207,1.038
22:00:13:314,0.0720,0.1921,1.1488,1.167
22:00:13:315,0.0841,0.2041,1.2288,1.249
22:00:13:317,0.1401,0.1961,1.2168,1.240
22:00:13:320,0.1601,0.2242,1.1328,1.166
22:00:13:329,0.1881,0.2242,1.0567,1.096
22:00:13:332,0.1761,0.1961,1.0247,1.058
22:00:13:376,0.1761,0.1441,0.9647,0.991
22:00:13:378,0.1521,0.1441,1.0087,1.030
22:00:13:380,0.1761,0.1801,1.0567,1.086
22:00:13:382,0.1481,0.2041,1.1848,1.211
22:00:13:384,0.1281,0.2081,1.2368,1.261
22:00:13:396,0.1081,0.1881,1.2208,1.240
22:00:13:402,0.1201,0.1921,1.1608,1.183
22:00:13:412,0.1521,0.1721,1.1928,1.215
22:00:13:455,0.2001,0.1521,1.2248,1.250
22:00:13:458,0.0881,0.1801,0.9126,0.934
22:00:13:460,0.0961,0.1201,0.9807,0.993
22:00:13:462,0.0600,0.0841,0.9366,0.942
22:00:13:465,0.0560,0.0520,0.9446,0.948
22:00:13:476,0.0160,0.0520,0.9887,0.990
22:00:13:483,0.0040,0.0720,1.0167,1.019
22:00:13:492,0.0000,0.1401,1.0087,1.018
22:00:13:536,0.0120,0.1641,1.0407,1.054
22:00:13:537,0.0560,0.1841,1.0807,1.098
22:00:13:539,0.0841,0.2081,1.0767,1.100
22:00:13:541,0.1001,0.2482,1.1088,1.141
22:00:13:542,0.1161,0.2802,1.0847,1.126
22:00:13:556,0.1161,0.3042,1.0767,1.125
22:00:13:562,0.1481,0.3042,1.0447,1.098
22:00:13:573,0.1601,0.2922,0.9847,1.040
22:00:13:582,0.1801,0.2922,0.9807,1.039
22:00:13:595,0.1921,0.2882,1.0207,1.078
22:00:13:613,0.1961,0.2482,1.0327,1.080
22:00:13:616,0.1801,0.2282,1.0927,1.131
22:00:13:659,0.1601,0.2282,1.1488,1.182
22:00:13:663,0.1241,0.2001,1.1688,1.192
22:00:13:665,0.1161,0.1841,1.1488,1.169
22:00:13:667,0.0841,0.1761,1.1047,1.122
22:00:13:669,0.0881,0.1561,1.1007,1.115
22:00:13:673,0.0921,0.1481,1.0727,1.087
22:00:13:688,0.0881,0.1281,1.0767,1.088
22:00:13:696,0.1001,0.1321,1.0927,1.105
22:00:13:705,0.0801,0.1441,1.1288,1.141
22:00:13:712,0.0720,0.1601,1.1728,1.186
22:00:13:758,0.0520,0.1441,1.1688,1.179
22:00:13:760,0.0841,0.1361,1.1328,1.144
22:00:13:761,0.0640,0.1601,1.0767,1.090
22:00:13:763,0.0400,0.1761,1.0247,1.040
22:00:13:764,0.0280,0.1601,0.9807,0.994
22:00:13:777,0.0040,0.1481,0.9927,1.004
22:00:13:782,0.0000,0.1361,0.9807,0.990
22:00:13:798,0.0160,0.1441,0.9647,0.975
22:00:13:837,0.0120,0.1721,0.9807,0.996
22:00:13:839,-0.0120,0.1921,0.9687,0.988
22:00:13:841,-0.0320,0.1881,0.9887,1.007
22:00:13:842,-0.0640,0.1761,1.0207,1.038
22:00:13:844,-0.0560,0.1641,1.1007,1.114
22:00:13:854,-0.0120,0.1681,1.1968,1.209
22:00:13:862,0.0320,0.2081,1.2488,1.266
22:00:13:872,0.0520,0.2242,1.2288,1.250
22:00:13:882,0.0240,0.2562,1.1208,1.150
22:00:13:892,-0.0160,0.2522,1.0247,1.055
22:00:13:986,-0.0360,0.2322,0.9566,0.985
22:00:13:991,-0.0440,0.2121,0.9286,0.954
22:00:13:993,-0.0360,0.1921,0.9206,0.941
